"sa2_name21","sum_canopy","sum_mb_area","SA2_pcent_canopy","SA2_canopy_rank","SA2_canopy_decile"
"Noranda",475665,4907296,9.69301627617327,142,3
"North Coogee",175823,2807765,6.26202691464563,166,1
"North Perth",384617,2987057,12.8761185340621,91,5
"O'Connor (WA)",60854,1733509,3.51045192150719,177,1
"Ocean Reef",324491,4862351,6.67354125607139,164,1
"Osborne Park Industrial",96648,3487279,2.77144444135385,180,1
"Padbury",1095094,6075552,18.0246008922317,34,9
"Parkwood - Ferndale - Lynwood",1217052,8663601,14.0478768585949,74,6
"Parmelia - Orelia",1237551,7752260,15.9637447660424,48,8
"Perth (North) - Highgate",443933,3261735,13.6103331509151,81,6
"Perth (West) - Northbridge",482340,4446854,10.8467694239568,120,4
"Perth Airport",1544253,20382684,7.5762985875658,160,2
"Piara Waters - Forrestdale",5014449,38457864,13.038813076046,89,6
"Port Kennedy",1282505,21022095,6.10074780843679,168,1
"Riverton - Shelley - Rossmoyne",842464,6348914,13.2694189903974,86,6
"Rivervale",371906,3333945,11.1551330330884,112,4
"Rockingham",5420563,35503227,15.2678036844369,56,7
"Rockingham Lakes",3763759,20984332,17.9360439017072,35,9
"Roleystone",35656458,68730546,51.8786188603827,2,10
"Safety Bay - Shoalwater",539784,6859965,7.86861157454885,157,2
"Scarborough",488717,4894982,9.98404079933287,135,3
"Serpentine - Jarrahdale",220373494,665087665,33.1345032537929,8,10
"Seville Grove",563004,4612685,12.2055592350226,99,5
"Singleton - Golden Bay - Secret Harbour",1210268,14311929,8.45635832877595,153,2
"Sorrento - Marmion",445452,4633907,9.61288174320287,144,3
"South Lake - Cockburn Central",869511,8761410,9.92432724869627,137,3
"South Perth - Kensington",1365708,7702482,17.730752243238,36,9
"Spearwood",624989,6314408,9.8978241507359,139,3
"Stirling - Osborne Park",503420,6490978,7.75568797182797,158,2
"Stratton - Jane Brook",2932121,20777563,14.111958173343,71,7
"Subiaco - Shenton Park",1742934,7832354,22.2530033754858,20,9
"Success - Hammond Park",934286,9123562,10.2403644541463,131,3
"Swan View - Greenmount - Midvale",2620370,14963445,17.5118096133611,40,8
"Swanbourne - Mount Claremont",2273306,11700115,19.4297748355465,29,9
"Tapping - Ashby - Sinagra",5137013,51394950,9.99517073175477,134,3
"The Vines",9834908,66822059,14.7180559042636,62,7
"Thornlie",1431904,11629346,12.3128506108598,97,5
"Trigg - North Beach - Watermans Bay",894515,5856309,15.2743818674868,55,7
"Tuart Hill - Joondanna",337151,3612008,9.33417090992046,148,2
"Two Rocks",2923192,55694926,5.2485786586735,169,1
"Victoria Park - Lathlain - Burswood",766323,7484359,10.238993078766,132,3
"Waikiki",392381,5687387,6.89914366650274,163,1
"Walyunga National Park",1438483,17882387,8.04413303436504,155,2
"Wanneroo - Sinagra",2465683,14327304,17.2096788062848,43,8
"Warnbro",548140,5527051,9.91740441693048,138,3
"Wellard (West) - Bertram",2670452,12346616,21.6290196439251,24,9
"Welshpool",358287,8303890,4.31468865796633,172,1
"Wembley - West Leederville - Glendalough",961046,6623893,14.5087790518355,67,7
"Wembley Downs - Churchlands - Woodlands",1745389,8039357,21.7105547122736,23,9
"Willagee",278031,2091087,13.2960034661399,85,6
"Willetton",1001617,8845948,11.3228904352592,110,4
"Winthrop",546481,3508957,15.5738870553273,52,8
"Woodvale",1202949,7187463,16.7367678971008,44,8
"Yanchep",1373621,18812102,7.30179434493817,161,2
"Yangebup",667770,6003777,11.1224983872652,114,4
"Yokine - Coolbinia - Menora",1027305,6856515,14.9829031220671,61,7
